Feature_name_B	Feature_name_B_prev	Feature_name_B_next
YER124C	intergenic*ARS517_YER124C	intergenic*YER124C_YER125W
intergenic*YER124C_YER125W	YER124C	YER125W
YER125W	intergenic*YER124C_YER125W	intergenic*YER125W_YER126C
intergenic*YER125W_YER126C	YER125W	YER126C
YER126C	intergenic*YER125W_YER126C	intergenic*YER126C_YER127W
intergenic*YER126C_YER127W	YER126C	YER127W
YER127W	intergenic*YER126C_YER127W	intergenic*YER127W_YER128W
intergenic*YER127W_YER128W	YER127W	YER128W
YER128W	intergenic*YER127W_YER128W	intergenic*YER128W_YER129W
intergenic*YER128W_YER129W	YER128W	YER129W
YER129W	intergenic*YER128W_YER129W	intergenic*YER129W_YER130C
intergenic*YER129W_YER130C	YER129W	YER130C
YER130C	intergenic*YER129W_YER130C	intergenic*YER130C_YER131W
intergenic*YER130C_YER131W	YER130C	YER131W
YER131W	intergenic*YER130C_YER131W	intergenic*YER131W_snR4
intergenic*YER131W_snR4	YER131W	snR4
snR4	intergenic*YER131W_snR4	intergenic*snR4_YER132C
intergenic*snR4_YER132C	snR4	YER132C
YER132C	intergenic*snR4_YER132C	intergenic*YER132C_snR52
intergenic*YER132C_snR52	YER132C	snR52
snR52	intergenic*YER132C_snR52	intergenic*snR52_YERCdelta14
intergenic*snR52_YERCdelta14	snR52	YERCdelta14
YERCdelta14	intergenic*snR52_YERCdelta14	intergenic*YERCdelta14_YER133W
intergenic*YERCdelta14_YER133W	YERCdelta14	YER133W
YER133W	intergenic*YERCdelta14_YER133W	intergenic*YER133W_tH(GUG)E2
intergenic*YER133W_tH(GUG)E2	YER133W	tH(GUG)E2
tH(GUG)E2	intergenic*YER133W_tH(GUG)E2	intergenic*tH(GUG)E2_YERCsigma3
intergenic*tH(GUG)E2_YERCsigma3	tH(GUG)E2	YERCsigma3
YERCsigma3	intergenic*tH(GUG)E2_YERCsigma3	intergenic*YERCsigma3_YERCdelta15
intergenic*YERCsigma3_YERCdelta15	YERCsigma3	YERCdelta15
YERCdelta15	intergenic*YERCsigma3_YERCdelta15	intergenic*YERCdelta15_tK(CUU)E2
intergenic*YERCdelta15_tK(CUU)E2	YERCdelta15	tK(CUU)E2
tK(CUU)E2	intergenic*YERCdelta15_tK(CUU)E2	intergenic*tK(CUU)E2_YERCdelta16
intergenic*tK(CUU)E2_YERCdelta16	tK(CUU)E2	YERCdelta16
YERCdelta16	intergenic*tK(CUU)E2_YERCdelta16	intergenic*YERCdelta16_YERCtau3
intergenic*YERCdelta16_YERCtau3	YERCdelta16	YERCtau3
YERCtau3	intergenic*YERCdelta16_YERCtau3	intergenic*YERCtau3_YER133W-A
intergenic*YERCtau3_YER133W-A	YERCtau3	YER133W-A
YER133W-A	intergenic*YERCtau3_YER133W-A	YER134C
YER134C	YER133W-A	intergenic*YER134C_YER135C
intergenic*YER134C_YER135C	YER134C	YER135C
YER135C	intergenic*YER134C_YER135C	intergenic*YER135C_tV(AAC)E1
intergenic*YER135C_tV(AAC)E1	YER135C	tV(AAC)E1
tV(AAC)E1	intergenic*YER135C_tV(AAC)E1	intergenic*tV(AAC)E1_ARS518
intergenic*tV(AAC)E1_ARS518	tV(AAC)E1	ARS518
ARS518	intergenic*tV(AAC)E1_ARS518	intergenic*ARS518_YER136W
intergenic*ARS518_YER136W	ARS518	YER136W
YER136W	intergenic*ARS518_YER136W	intergenic*YER136W_YER137C
intergenic*YER136W_YER137C	YER136W	YER137C
YER137C	intergenic*YER136W_YER137C	YER137W-A
YER137W-A	YER137C	intergenic*YER137W-A_SCR1
intergenic*YER137W-A_SCR1	YER137W-A	SCR1
SCR1	intergenic*YER137W-A_SCR1	ARS519
ARS519	SCR1	YERWdelta17
YERWdelta17	ARS519	intergenic*YERWdelta17_tI(AAU)E1
intergenic*YERWdelta17_tI(AAU)E1	YERWdelta17	tI(AAU)E1
tI(AAU)E1	intergenic*YERWdelta17_tI(AAU)E1	intergenic*tI(AAU)E1_YERCTy1-1
intergenic*tI(AAU)E1_YERCTy1-1	tI(AAU)E1	YERCTy1-1
YERCdelta19	intergenic*tI(AAU)E1_YERCTy1-1	intergenic*YERCTy1-1_YER138W-A
YERCTy1-1	intergenic*tI(AAU)E1_YERCTy1-1	intergenic*YERCTy1-1_YER138W-A
YER138C	intergenic*tI(AAU)E1_YERCTy1-1	intergenic*YERCTy1-1_YER138W-A
YERWdelta21	intergenic*tI(AAU)E1_YERCTy1-1	intergenic*YERCTy1-1_YER138W-A
YER137C-A	intergenic*tI(AAU)E1_YERCTy1-1	intergenic*YERCTy1-1_YER138W-A
YERCdelta20	intergenic*tI(AAU)E1_YERCTy1-1	intergenic*YERCTy1-1_YER138W-A
intergenic*YERCTy1-1_YER138W-A	YERCTy1-1	YER138W-A
YER138W-A	intergenic*YERCTy1-1_YER138W-A	intergenic*YER138W-A_YER139C
intergenic*YER138W-A_YER139C	YER138W-A	YER139C
YER139C	intergenic*YER138W-A_YER139C	intergenic*YER139C_YER140W
intergenic*YER139C_YER140W	YER139C	YER140W
YER140W	intergenic*YER139C_YER140W	intergenic*YER140W_YER141W
intergenic*YER140W_YER141W	YER140W	YER141W
YER141W	intergenic*YER140W_YER141W	intergenic*YER141W_YER142C
intergenic*YER141W_YER142C	YER141W	YER142C
YER142C	intergenic*YER141W_YER142C	intergenic*YER142C_YER143W
intergenic*YER142C_YER143W	YER142C	YER143W
YER143W	intergenic*YER142C_YER143W	intergenic*YER143W_YER144C
intergenic*YER143W_YER144C	YER143W	YER144C
YER144C	intergenic*YER143W_YER144C	intergenic*YER144C_YER145C
intergenic*YER144C_YER145C	YER144C	YER145C
YER145C	intergenic*YER144C_YER145C	intergenic*YER145C_YER145C-A
intergenic*YER145C_YER145C-A	YER145C	YER145C-A
YER145C-A	intergenic*YER145C_YER145C-A	YER146W
YER146W	YER145C-A	intergenic*YER146W_YER147C
intergenic*YER146W_YER147C	YER146W	YER147C
YER147C	intergenic*YER146W_YER147C	intergenic*YER147C_YER147C-A
intergenic*YER147C_YER147C-A	YER147C	YER147C-A
YER147C-A	intergenic*YER147C_YER147C-A	YER148W
YER148W	YER147C-A	intergenic*YER148W_YER148W-A
intergenic*YER148W_YER148W-A	YER148W	YER148W-A
YER148W-A	intergenic*YER148W_YER148W-A	YER149C
YER149C	YER148W-A	intergenic*YER149C_YER150W
intergenic*YER149C_YER150W	YER149C	YER150W
YER150W	intergenic*YER149C_YER150W	intergenic*YER150W_tV(AAC)E2
intergenic*YER150W_tV(AAC)E2	YER150W	tV(AAC)E2
tV(AAC)E2	intergenic*YER150W_tV(AAC)E2	intergenic*tV(AAC)E2_YER151C
intergenic*tV(AAC)E2_YER151C	tV(AAC)E2	YER151C
YER151C	intergenic*tV(AAC)E2_YER151C	intergenic*YER151C_YER152C
intergenic*YER151C_YER152C	YER151C	YER152C
YER152C	intergenic*YER151C_YER152C	YER152W-A
YER152W-A	YER152C	YER153C
YER153C	YER152W-A	intergenic*YER153C_YER154W
intergenic*YER153C_YER154W	YER153C	YER154W
YER154W	intergenic*YER153C_YER154W	intergenic*YER154W_YER155C
intergenic*YER154W_YER155C	YER154W	YER155C
YER155C	intergenic*YER154W_YER155C	intergenic*YER155C_YER156C
intergenic*YER155C_YER156C	YER155C	YER156C
YER156C	intergenic*YER155C_YER156C	intergenic*YER156C_YER157W
intergenic*YER156C_YER157W	YER156C	YER157W
YER157W	intergenic*YER156C_YER157W	intergenic*YER157W_tE(UUC)E3
intergenic*YER157W_tE(UUC)E3	YER157W	tE(UUC)E3
tE(UUC)E3	intergenic*YER157W_tE(UUC)E3	intergenic*tE(UUC)E3_YERWdelta22
intergenic*tE(UUC)E3_YERWdelta22	tE(UUC)E3	YERWdelta22
YERWdelta22	intergenic*tE(UUC)E3_YERWdelta22	intergenic*YERWdelta22_YER158C
intergenic*YERWdelta22_YER158C	YERWdelta22	YER158C
YER158C	intergenic*YERWdelta22_YER158C	intergenic*YER158C_YER158W-A
intergenic*YER158C_YER158W-A	YER158C	YER158W-A
YER158W-A	intergenic*YER158C_YER158W-A	YER159C
YER159C	YER158W-A	intergenic*YER159C_tR(ACG)E
intergenic*YER159C_tR(ACG)E	YER159C	tR(ACG)E
tR(ACG)E	intergenic*YER159C_tR(ACG)E	intergenic*tR(ACG)E_YERCTy1-2
intergenic*tR(ACG)E_YERCTy1-2	tR(ACG)E	YERCTy1-2
YERCdelta23	intergenic*tR(ACG)E_YERCTy1-2	intergenic*YERCTy1-2_ARS520
YERCTy1-2	intergenic*tR(ACG)E_YERCTy1-2	intergenic*YERCTy1-2_ARS520
YER160C	intergenic*tR(ACG)E_YERCTy1-2	intergenic*YERCTy1-2_ARS520
YER159C-A	intergenic*tR(ACG)E_YERCTy1-2	intergenic*YERCTy1-2_ARS520
YERCdelta24	intergenic*tR(ACG)E_YERCTy1-2	intergenic*YERCTy1-2_ARS520
intergenic*YERCTy1-2_ARS520	YERCTy1-2	ARS520
ARS520	intergenic*YERCTy1-2_ARS520	intergenic*ARS520_YER161C
intergenic*ARS520_YER161C	ARS520	YER161C
YER161C	intergenic*ARS520_YER161C	intergenic*YER161C_YER162C
intergenic*YER161C_YER162C	YER161C	YER162C
YER162C	intergenic*YER161C_YER162C	intergenic*YER162C_YER163C
intergenic*YER162C_YER163C	YER162C	YER163C
YER163C	intergenic*YER162C_YER163C	intergenic*YER163C_YER164W
intergenic*YER163C_YER164W	YER163C	YER164W
YER164W	intergenic*YER163C_YER164W	intergenic*YER164W_YER165W
intergenic*YER164W_YER165W	YER164W	YER165W
YER165W	intergenic*YER164W_YER165W	intergenic*YER165W_YER165C-A
intergenic*YER165W_YER165C-A	YER165W	YER165C-A
YER165C-A	intergenic*YER165W_YER165C-A	YER166W
YER166W	YER165C-A	intergenic*YER166W_YER167W
intergenic*YER166W_YER167W	YER166W	YER167W
YER167W	intergenic*YER166W_YER167W	ARS521
ARS521	YER167W	YER168C
YER168C	ARS521	intergenic*YER168C_YER169W
intergenic*YER168C_YER169W	YER168C	YER169W
YER169W	intergenic*YER168C_YER169W	intergenic*YER169W_YER170W
intergenic*YER169W_YER170W	YER169W	YER170W
YER170W	intergenic*YER169W_YER170W	intergenic*YER170W_YER171W
intergenic*YER170W_YER171W	YER170W	YER171W
YER171W	intergenic*YER170W_YER171W	intergenic*YER171W_YER172C
intergenic*YER171W_YER172C	YER171W	YER172C
YER172C	intergenic*YER171W_YER172C	intergenic*YER172C_YER172C-A
intergenic*YER172C_YER172C-A	YER172C	YER172C-A
YER172C-A	intergenic*YER172C_YER172C-A	YER173W
YER173W	YER172C-A	intergenic*YER173W_YER174C
intergenic*YER173W_YER174C	YER173W	YER174C
YER174C	intergenic*YER173W_YER174C	intergenic*YER174C_YER175C
intergenic*YER174C_YER175C	YER174C	YER175C
YER175C	intergenic*YER174C_YER175C	intergenic*YER175C_YER175W-A
intergenic*YER175C_YER175W-A	YER175C	YER175W-A
YER175W-A	intergenic*YER175C_YER175W-A	intergenic*YER175W-A_YER176W
intergenic*YER175W-A_YER176W	YER175W-A	YER176W
YER176W	intergenic*YER175W-A_YER176W	intergenic*YER176W_YER177W
intergenic*YER176W_YER177W	YER176W	YER177W
YER177W	intergenic*YER176W_YER177W	intergenic*YER177W_YER178W
intergenic*YER177W_YER178W	YER177W	YER178W
YER178W	intergenic*YER177W_YER178W	intergenic*YER178W_YER179W
intergenic*YER178W_YER179W	YER178W	YER179W
YER179W	intergenic*YER178W_YER179W	intergenic*YER179W_ARS522
intergenic*YER179W_ARS522	YER179W	ARS522
ARS522	intergenic*YER179W_ARS522	YER180C
YER180C	ARS522	intergenic*YER180C_YER180C-A
intergenic*YER180C_YER180C-A	YER180C	YER180C-A
YER180C-A	intergenic*YER180C_YER180C-A	intergenic*YER180C-A_tI(AAU)E2
intergenic*YER180C-A_tI(AAU)E2	YER180C-A	tI(AAU)E2
tI(AAU)E2	intergenic*YER180C-A_tI(AAU)E2	intergenic*tI(AAU)E2_YERWdelta25
intergenic*tI(AAU)E2_YERWdelta25	tI(AAU)E2	YERWdelta25
YERWdelta25	intergenic*tI(AAU)E2_YERWdelta25	YER181C
YER181C	YERWdelta25	intergenic*YER181C_YERCdelta26
intergenic*YER181C_YERCdelta26	YER181C	YERCdelta26
YERCdelta26	intergenic*YER181C_YERCdelta26	intergenic*YERCdelta26_YER182W
intergenic*YERCdelta26_YER182W	YERCdelta26	YER182W
YER182W	intergenic*YERCdelta26_YER182W	intergenic*YER182W_YER183C
intergenic*YER182W_YER183C	YER182W	YER183C
YER183C	intergenic*YER182W_YER183C	intergenic*YER183C_YER184C
intergenic*YER183C_YER184C	YER183C	YER184C
YER184C	intergenic*YER183C_YER184C	intergenic*YER184C_YER185W
intergenic*YER184C_YER185W	YER184C	YER185W
YER185W	intergenic*YER184C_YER185W	intergenic*YER185W_YER186C
intergenic*YER185W_YER186C	YER185W	YER186C
YER186C	intergenic*YER185W_YER186C	intergenic*YER186C_YERComega1
intergenic*YER186C_YERComega1	YER186C	YERComega1
YERComega1	intergenic*YER186C_YERComega1	intergenic*YERComega1_YER187W
intergenic*YERComega1_YER187W	YERComega1	YER187W
YER187W	intergenic*YERComega1_YER187W	intergenic*YER187W_YER188W
intergenic*YER187W_YER188W	YER187W	YER188W
YER188W	intergenic*YER187W_YER188W	intergenic*YER188W_YERWomega2
intergenic*YER188W_YERWomega2	YER188W	YERWomega2
YERWomega2	intergenic*YER188W_YERWomega2	intergenic*YERWomega2_TEL05R
intergenic*YERWomega2_TEL05R	YERWomega2	TEL05R
TEL05R	intergenic*YERWomega2_TEL05R	NA
YER188C-A	intergenic*YERWomega2_TEL05R	NA
ARS523	intergenic*YERWomega2_TEL05R	NA
YER189W	intergenic*YERWomega2_TEL05R	NA
YER190W	intergenic*YERWomega2_TEL05R	NA
YER190C-A	intergenic*YERWomega2_TEL05R	NA
YER190C-B	intergenic*YERWomega2_TEL05R	NA
TEL06L	NA	intergenic*TEL06L_YFL062W
YFL068W	NA	intergenic*TEL06L_YFL062W
YFL067W	NA	intergenic*TEL06L_YFL062W
YFL066C	NA	intergenic*TEL06L_YFL062W
YFL065C	NA	intergenic*TEL06L_YFL062W
YFL064C	NA	intergenic*TEL06L_YFL062W
YFL063W	NA	intergenic*TEL06L_YFL062W
ARS600	NA	intergenic*TEL06L_YFL062W
intergenic*TEL06L_YFL062W	TEL06L	YFL062W
YFL062W	intergenic*TEL06L_YFL062W	intergenic*YFL062W_YFL061W
intergenic*YFL062W_YFL061W	YFL062W	YFL061W
YFL061W	intergenic*YFL062W_YFL061W	intergenic*YFL061W_YFL060C
intergenic*YFL061W_YFL060C	YFL061W	YFL060C
YFL060C	intergenic*YFL061W_YFL060C	intergenic*YFL060C_YFL059W
intergenic*YFL060C_YFL059W	YFL060C	YFL059W
YFL059W	intergenic*YFL060C_YFL059W	intergenic*YFL059W_YFL058W
intergenic*YFL059W_YFL058W	YFL059W	YFL058W
YFL058W	intergenic*YFL059W_YFL058W	intergenic*YFL058W_YFL055W
intergenic*YFL058W_YFL055W	YFL058W	YFL055W
YFL055W	intergenic*YFL058W_YFL055W	intergenic*YFL055W_ARS600.4
intergenic*YFL055W_ARS600.4	YFL055W	ARS600.4
ARS600.4	intergenic*YFL055W_ARS600.4	YFL054C
YFL054C	ARS600.4	intergenic*YFL054C_YFL053W
intergenic*YFL054C_YFL053W	YFL054C	YFL053W
YFL053W	intergenic*YFL054C_YFL053W	intergenic*YFL053W_YFL052W
intergenic*YFL053W_YFL052W	YFL053W	YFL052W
YFL052W	intergenic*YFL053W_YFL052W	intergenic*YFL052W_YFL051C
intergenic*YFL052W_YFL051C	YFL052W	YFL051C
YFL051C	intergenic*YFL052W_YFL051C	intergenic*YFL051C_ARS601
intergenic*YFL051C_ARS601	YFL051C	ARS601
ARS601	intergenic*YFL051C_ARS601	ARS602
ARS602	ARS601	intergenic*ARS602_YFL050C
intergenic*ARS602_YFL050C	ARS602	YFL050C
YFL050C	intergenic*ARS602_YFL050C	intergenic*YFL050C_YFL049W
intergenic*YFL050C_YFL049W	YFL050C	YFL049W
YFL049W	intergenic*YFL050C_YFL049W	intergenic*YFL049W_YFL048C
intergenic*YFL049W_YFL048C	YFL049W	YFL048C
YFL048C	intergenic*YFL049W_YFL048C	intergenic*YFL048C_YFL047W
intergenic*YFL048C_YFL047W	YFL048C	YFL047W
YFL047W	intergenic*YFL048C_YFL047W	intergenic*YFL047W_YFL046W
intergenic*YFL047W_YFL046W	YFL047W	YFL046W
YFL046W	intergenic*YFL047W_YFL046W	intergenic*YFL046W_YFL045C
intergenic*YFL046W_YFL045C	YFL046W	YFL045C
YFL045C	intergenic*YFL046W_YFL045C	intergenic*YFL045C_YFL044C
intergenic*YFL045C_YFL044C	YFL045C	YFL044C
YFL044C	intergenic*YFL045C_YFL044C	intergenic*YFL044C_YFL042C
intergenic*YFL044C_YFL042C	YFL044C	YFL042C
YFL042C	intergenic*YFL044C_YFL042C	intergenic*YFL042C_YFL041W-A
intergenic*YFL042C_YFL041W-A	YFL042C	YFL041W-A
YFL041W-A	intergenic*YFL042C_YFL041W-A	intergenic*YFL041W-A_YFL041W
intergenic*YFL041W-A_YFL041W	YFL041W-A	YFL041W
YFL041W	intergenic*YFL041W-A_YFL041W	intergenic*YFL041W_YFL040W
intergenic*YFL041W_YFL040W	YFL041W	YFL040W
YFL040W	intergenic*YFL041W_YFL040W	intergenic*YFL040W_YFL039C
intergenic*YFL040W_YFL039C	YFL040W	YFL039C
YFL039C	intergenic*YFL040W_YFL039C	intergenic*YFL039C_YFL038C
intergenic*YFL039C_YFL038C	YFL039C	YFL038C
YFL038C	intergenic*YFL039C_YFL038C	intergenic*YFL038C_YFL037W
intergenic*YFL038C_YFL037W	YFL038C	YFL037W
YFL037W	intergenic*YFL038C_YFL037W	intergenic*YFL037W_RUF21
intergenic*YFL037W_RUF21	YFL037W	RUF21
RUF21	intergenic*YFL037W_RUF21	intergenic*RUF21_YFL036W
intergenic*RUF21_YFL036W	RUF21	YFL036W
YFL036W	intergenic*RUF21_YFL036W	intergenic*YFL036W_YFL034C-B
intergenic*YFL036W_YFL034C-B	YFL036W	YFL034C-B
YFL034C-B	intergenic*YFL036W_YFL034C-B	intergenic*YFL034C-B_YFL034C-A
intergenic*YFL034C-B_YFL034C-A	YFL034C-B	YFL034C-A
YFL034C-A	intergenic*YFL034C-B_YFL034C-A	intergenic*YFL034C-A_YFL034W
intergenic*YFL034C-A_YFL034W	YFL034C-A	YFL034W
YFL034W	intergenic*YFL034C-A_YFL034W	intergenic*YFL034W_ARS603
intergenic*YFL034W_ARS603	YFL034W	ARS603
ARS603	intergenic*YFL034W_ARS603	intergenic*ARS603_YFL033C
intergenic*ARS603_YFL033C	ARS603	YFL033C
YFL033C	intergenic*ARS603_YFL033C	intergenic*YFL033C_YFL032W
intergenic*YFL033C_YFL032W	YFL033C	YFL032W
YFL032W	intergenic*YFL033C_YFL032W	YFL031W
YFL031W	YFL032W	YFL031C-A
YFL031C-A	YFL031W	intergenic*YFL031W_YFL030W
intergenic*YFL031W_YFL030W	YFL031C-A	YFL030W
YFL030W	intergenic*YFL031W_YFL030W	intergenic*YFL030W_YFL029C
intergenic*YFL030W_YFL029C	YFL030W	YFL029C
YFL029C	intergenic*YFL030W_YFL029C	intergenic*YFL029C_YFL028C
intergenic*YFL029C_YFL028C	YFL029C	YFL028C
YFL028C	intergenic*YFL029C_YFL028C	intergenic*YFL028C_YFL027C
intergenic*YFL028C_YFL027C	YFL028C	YFL027C
YFL027C	intergenic*YFL028C_YFL027C	intergenic*YFL027C_YFL026W
intergenic*YFL027C_YFL026W	YFL027C	YFL026W
YFL026W	intergenic*YFL027C_YFL026W	intergenic*YFL026W_YFL025C
intergenic*YFL026W_YFL025C	YFL026W	YFL025C
YFL025C	intergenic*YFL026W_YFL025C	intergenic*YFL025C_YFL024C
intergenic*YFL025C_YFL024C	YFL025C	YFL024C
YFL024C	intergenic*YFL025C_YFL024C	intergenic*YFL024C_YFL023W
intergenic*YFL024C_YFL023W	YFL024C	YFL023W
YFL023W	intergenic*YFL024C_YFL023W	intergenic*YFL023W_YFL022C
intergenic*YFL023W_YFL022C	YFL023W	YFL022C
YFL022C	intergenic*YFL023W_YFL022C	intergenic*YFL022C_YFL021C-A
intergenic*YFL022C_YFL021C-A	YFL022C	YFL021C-A
YFL021C-A	intergenic*YFL022C_YFL021C-A	YFL021W
YFL021W	YFL021C-A	intergenic*YFL021W_YFL020C
intergenic*YFL021W_YFL020C	YFL021W	YFL020C
YFL020C	intergenic*YFL021W_YFL020C	intergenic*YFL020C_YFL019C
intergenic*YFL020C_YFL019C	YFL020C	YFL019C
YFL019C	intergenic*YFL020C_YFL019C	YFLWdelta1
YFLWdelta1	YFL019C	intergenic*YFLWdelta1_tP(UGG)F
intergenic*YFLWdelta1_tP(UGG)F	YFLWdelta1	tP(UGG)F
tP(UGG)F	intergenic*YFLWdelta1_tP(UGG)F	intergenic*tP(UGG)F_YFL018C
intergenic*tP(UGG)F_YFL018C	tP(UGG)F	YFL018C
YFL018C	intergenic*tP(UGG)F_YFL018C	intergenic*YFL018C_YFL017W-A
intergenic*YFL018C_YFL017W-A	YFL018C	YFL017W-A
YFL017W-A	intergenic*YFL018C_YFL017W-A	intergenic*YFL017W-A_YFL017C
intergenic*YFL017W-A_YFL017C	YFL017W-A	YFL017C
YFL017C	intergenic*YFL017W-A_YFL017C	ARS603.1
ARS603.1	YFL017C	YFL016C
YFL016C	ARS603.1	intergenic*YFL016C_YFL015W-A
intergenic*YFL016C_YFL015W-A	YFL016C	YFL015W-A
YFL015W-A	intergenic*YFL016C_YFL015W-A	YFL015C
YFL015C	YFL015W-A	intergenic*YFL015C_YFL014W
intergenic*YFL015C_YFL014W	YFL015C	YFL014W
YFL014W	intergenic*YFL015C_YFL014W	intergenic*YFL014W_YFL013W-A
intergenic*YFL014W_YFL013W-A	YFL014W	YFL013W-A
YFL013W-A	intergenic*YFL014W_YFL013W-A	YFL013C
YFL013C	YFL013W-A	YFL012W-A
YFL012W-A	YFL013C	intergenic*YFL012W-A_YFL012W
intergenic*YFL012W-A_YFL012W	YFL012W-A	YFL012W
YFL012W	intergenic*YFL012W-A_YFL012W	intergenic*YFL012W_YFL011W
intergenic*YFL012W_YFL011W	YFL012W	YFL011W
YFL011W	intergenic*YFL012W_YFL011W	intergenic*YFL011W_YFL010W-A
intergenic*YFL011W_YFL010W-A	YFL011W	YFL010W-A
YFL010W-A	intergenic*YFL011W_YFL010W-A	YFL010C
YFL010C	YFL010W-A	intergenic*YFL010C_YFL009W
intergenic*YFL010C_YFL009W	YFL010C	YFL009W
YFL009W	intergenic*YFL010C_YFL009W	intergenic*YFL009W_ARS603.5
intergenic*YFL009W_ARS603.5	YFL009W	ARS603.5
ARS603.5	intergenic*YFL009W_ARS603.5	intergenic*ARS603.5_YFL008W
intergenic*ARS603.5_YFL008W	ARS603.5	YFL008W
YFL008W	intergenic*ARS603.5_YFL008W	intergenic*YFL008W_YFL007W
intergenic*YFL008W_YFL007W	YFL008W	YFL007W
YFL007W	intergenic*YFL008W_YFL007W	ARS604
ARS604	YFL007W	intergenic*YFL007W_YFL005W
intergenic*YFL007W_YFL005W	ARS604	YFL005W
YFL005W	intergenic*YFL007W_YFL005W	intergenic*YFL005W_RUF20
intergenic*YFL005W_RUF20	YFL005W	RUF20
RUF20	intergenic*YFL005W_RUF20	intergenic*RUF20_YFL004W
intergenic*RUF20_YFL004W	RUF20	YFL004W
YFL004W	intergenic*RUF20_YFL004W	intergenic*YFL004W_YFL003C
intergenic*YFL004W_YFL003C	YFL004W	YFL003C
YFL003C	intergenic*YFL004W_YFL003C	ARS605
ARS605	YFL003C	intergenic*ARS605_tN(GUU)F
intergenic*ARS605_tN(GUU)F	ARS605	tN(GUU)F
tN(GUU)F	intergenic*ARS605_tN(GUU)F	intergenic*tN(GUU)F_YFLWdelta2
intergenic*tN(GUU)F_YFLWdelta2	tN(GUU)F	YFLWdelta2
YFLWdelta2	intergenic*tN(GUU)F_YFLWdelta2	YFLWTy2-1
YFLWdelta3	YFLWdelta2	intergenic*YFLWTy2-1_YFLWdelta5
YFLWTy2-1	YFLWdelta2	intergenic*YFLWTy2-1_YFLWdelta5
YFL002W-B	YFLWdelta2	intergenic*YFLWTy2-1_YFLWdelta5
YFL002W-A	YFLWdelta2	intergenic*YFLWTy2-1_YFLWdelta5
YFLWdelta4	YFLWdelta2	intergenic*YFLWTy2-1_YFLWdelta5
intergenic*YFLWTy2-1_YFLWdelta5	YFLWTy2-1	YFLWdelta5
YFLWdelta5	intergenic*YFLWTy2-1_YFLWdelta5	intergenic*YFLWdelta5_YFLWtau1
intergenic*YFLWdelta5_YFLWtau1	YFLWdelta5	YFLWtau1
YFLWtau1	intergenic*YFLWdelta5_YFLWtau1	YFLCdelta6
YFLCdelta6	YFLWtau1	intergenic*YFLCdelta6_YFL002C
intergenic*YFLCdelta6_YFL002C	YFLCdelta6	YFL002C
YFL002C	intergenic*YFLCdelta6_YFL002C	intergenic*YFL002C_YFL001W
intergenic*YFL002C_YFL001W	YFL002C	YFL001W
YFL001W	intergenic*YFL002C_YFL001W	intergenic*YFL001W_CEN6
intergenic*YFL001W_CEN6	YFL001W	CEN6
CEN6	intergenic*YFL001W_CEN6	intergenic*CEN6_YFR001W
intergenic*CEN6_YFR001W	CEN6	YFR001W
YFR001W	intergenic*CEN6_YFR001W	intergenic*YFR001W_YFR002W
intergenic*YFR001W_YFR002W	YFR001W	YFR002W
YFR002W	intergenic*YFR001W_YFR002W	intergenic*YFR002W_YFR003C
intergenic*YFR002W_YFR003C	YFR002W	YFR003C
YFR003C	intergenic*YFR002W_YFR003C	intergenic*YFR003C_YFR004W
intergenic*YFR003C_YFR004W	YFR003C	YFR004W
YFR004W	intergenic*YFR003C_YFR004W	intergenic*YFR004W_YFR005C
intergenic*YFR004W_YFR005C	YFR004W	YFR005C
YFR005C	intergenic*YFR004W_YFR005C	intergenic*YFR005C_YFR006W
intergenic*YFR005C_YFR006W	YFR005C	YFR006W
YFR006W	intergenic*YFR005C_YFR006W	intergenic*YFR006W_tF(GAA)F
intergenic*YFR006W_tF(GAA)F	YFR006W	tF(GAA)F
tF(GAA)F	intergenic*YFR006W_tF(GAA)F	intergenic*tF(GAA)F_YFRWdelta7
intergenic*tF(GAA)F_YFRWdelta7	tF(GAA)F	YFRWdelta7
YFRWdelta7	intergenic*tF(GAA)F_YFRWdelta7	intergenic*YFRWdelta7_YFR007W
intergenic*YFRWdelta7_YFR007W	YFRWdelta7	YFR007W
YFR007W	intergenic*YFRWdelta7_YFR007W	intergenic*YFR007W_YFR008W
intergenic*YFR007W_YFR008W	YFR007W	YFR008W
YFR008W	intergenic*YFR007W_YFR008W	intergenic*YFR008W_YFRCdelta8
intergenic*YFR008W_YFRCdelta8	YFR008W	YFRCdelta8
YFRCdelta8	intergenic*YFR008W_YFRCdelta8	intergenic*YFRCdelta8_tG(GCC)F1
intergenic*YFRCdelta8_tG(GCC)F1	YFRCdelta8	tG(GCC)F1
tG(GCC)F1	intergenic*YFRCdelta8_tG(GCC)F1	intergenic*tG(GCC)F1_YFR009W
intergenic*tG(GCC)F1_YFR009W	tG(GCC)F1	YFR009W
YFR009W	intergenic*tG(GCC)F1_YFR009W	YFR009W-A
YFR009W-A	YFR009W	intergenic*YFR009W_YFR010W
intergenic*YFR009W_YFR010W	YFR009W-A	YFR010W
YFR010W	intergenic*YFR009W_YFR010W	intergenic*YFR010W_YFR010W-A
intergenic*YFR010W_YFR010W-A	YFR010W	YFR010W-A
YFR010W-A	intergenic*YFR010W_YFR010W-A	YFR011C
YFR011C	YFR010W-A	intergenic*YFR011C_tY(GUA)F1
